curr_year,area_1,specialized_area,course_name,open_sem,school_type,is_cert,hosting_dept,course_std,grad_cred,total_cred,theory_cred,prac_cred,hours,note,prog_cred,syllabus,prereq,has_class_div,real_sem,plan_prof,bldg_name,room_no,room_type,real_prof,teach_method,eval_method,req_count,act_count,sat_score,temp_date,temp_user,final_date,final_user,화면에서 클릭해서 넣을 수 있게
2025,교양이수,교양기초,채플,"1-1,1-2,2-1,2-2",교기,,교목실,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,기독교의 이해,1-1,교기,,교목실,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,글쓰기,1-2,교기,,글로벌창의융합대학,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,교양영어1,1-1,교기,,글로벌창의융합대학,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,교양영어2,1-2,교기,,글로벌창의융합대학,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,리더십개발,1-1,교기,,RC융합대학,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,리더십실습,1-2,교기,,RC융합대학,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,대학학문의세계,1-1,교기,,RC융합대학,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,컴퓨팅사고,1-1,교기,,SWDH융합대학,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,진로지도,2-1,교기,,학과,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양기초,경력개발,"2-2,3-1,3-2",교기,,미래인재개발원,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양필수,글로벌시대의경영학,1-1,교필,,-,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양필수,일반생물학및실험(1),1-1,교필,,-,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양필수,파이썬프로그래밍,1-2,교필,,-,,,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,1영역 (문학과 예술),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,2영역 (인간과 역사),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,3영역 (언어와 표현),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,4영역 (가치와 윤리),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,5영역 (국가와 사회),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,7영역 (논리와 수리),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,교양이수,교양선택,8영역 (자연과 우주),전학기,교선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,필수이수,전공필수,보건의료정보관리학,2-1,전필,o,학과,,,3,3,0,3,,3,,,,,,,,,,,,,,,,,,,
2025,필수이수,전공선택,보건의료정보관리실무,4-1,전선,o,학과,,,3,2,2,4,,1,,,,,,,,,,,,,,,,,,,
