prof_name,course_name,grade,semester,total_cred,teaching_hours,area_1,school_type,univ_type,fulltime_type,first_build,first_room,first_day,first_time,second_build,second_room,second_day,second_time,curr_year
남은우,공중보건학,0,2학기,3,3,,전필,학사,전임,컨버전스,101,수,"5,6,7",,,,,2023
남은우,국제모자보건학,0,2학기,3,3,,전공,대학원,전임,창조관,511,목,"6,7,8",,,,,2023
남은우,국제보건학,3,2학기,3,3,,전선,대학원,전임,백운관,526,월,8,,,화,"1,2",2023
남은우,국제보건학,4,1학기,3,3,,전선,대학원,전임,백운관,534,화,"13,14,15",,,,,2023
남은우,디지털헬스케어 코디네이터,0,2학기,2,2,,전선,대학원,전임,백운관,523,화,"14,15",,,,,2023
남은우,보건학특론,0,1학기,3,3,,전공,학사,전임,창조관,506,화,"1,2,3",,,,,2023
남은우,보건학특론,0,2학기,3,3,,전공,대학원,전임,컨버전스,320,수,"10,11,12",,,,,2023
노진원,건강형평성:이론과실제,0,1학기,3,3,,전공,학사,비전임,창조관,508,화,"9,10,11",,,,,2023
노진원,과학적병원관리기법,3,1학기,3,3,,전선,학사,비전임,창조관,535,월,5,창조관,511,수,"6,7",2023
노진원,병원회계및의료원가계산,3,1학기,3,3,,전선,학사,비전임,창조관,506,월,4,,,화,"7,8",2023
노진원,병원회계및재무관리,0,1학기,2,2,,전선,대학원,비전임,창조관,527,수,"12,13",,,,,2023
노진원,병원회계재무관리,4,2학기,3,0,,전선,대학원,비전임,,,,,,,,,2023
노진원,보건관리연구방법론,0,2학기,3,3,,전공,대학원,비전임,창조관,508,월,"7,8,9",,,,,2023
노진원,보건사업관리학,4,2학기,3,3,,전선,학사,비전임,백운관,531,월,3,,,화,"6,7",2023
노진원,보건의료조직행동론,4,2학기,3,3,,전선,대학원,비전임,백운관,531,월,"5,6",,,화,5,2023
노진원,보건의료조직행동론,0,2학기,3,3,,전공,학사,비전임,컨버전스,302,수,"1,2,3",,,,,2023
노진원,의료경영학,2,1학기,3,3,,전필,대학원,비전임,백운관,526,화,"2,3",,,수,5,2023
노진원,의료경영학,3,1학기,3,0,,전선,학사,비전임,,,,,,,,,2023
노진원,조직행동론,0,2학기,2,2,,전선,학사,비전임,창조관,506,화,"14,15",,,,,2023
